system:index,country,label,.geo
0,Kazakhstan,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.20383435440118,45.84507136739772]}"
1,Kazakhstan,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[68.03884877685462,41.80983911113283]}"
2,Kazakhstan,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[68.37032711669472,40.85942154053438]}"
3,Kazakhstan,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[69.51747573451536,41.711024429879686]}"
4,Kazakhstan,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.06242580583522,43.510349943971086]}"
5,Kazakhstan,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.45424348707704,42.78810445553899]}"
6,Kazakhstan,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[68.51405756215385,40.73545403132589]}"
7,Kazakhstan,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.2381454239727,45.47945704676108]}"
8,Kazakhstan,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[67.98584817509158,42.087418533925764]}"
9,Kazakhstan,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.6642970461953,50.796585213464525]}"
10,Kazakhstan,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.46434578679585,45.611509393526646]}"
11,Kazakhstan,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[56.093052128633225,49.75813274502236]}"
12,Kazakhstan,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[68.55178680408687,43.224685683621075]}"
13,Kazakhstan,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[55.08963395627172,50.65824465971012]}"
14,Kazakhstan,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[70.57389450863991,52.34707739385482]}"
15,Kazakhstan,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.594053365259,43.12676931765205]}"
16,Kazakhstan,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.23255757208375,42.94441131497579]}"
17,Kazakhstan,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[68.0469336144117,42.125147775858785]}"
18,Kazakhstan,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.28413459223776,43.831946815685875]}"
19,Kazakhstan,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.76004373263689,49.73477654763525]}"
20,Kazakhstan,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.65529102194485,49.60002925501732]}"
21,Kazakhstan,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.21334277356729,43.667555118692]}"
22,Kazakhstan,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[65.37085238301964,44.83895824918386]}"
23,Kazakhstan,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[68.21491857254205,40.883676053205605]}"
24,Kazakhstan,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.39335600794115,43.479807224311024]}"
25,Kazakhstan,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[66.95727717477472,44.2334937476873]}"
26,Kazakhstan,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[51.729036478380586,51.20891192887539]}"
27,Kazakhstan,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.59600221319296,43.100718174412584]}"
28,Kazakhstan,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[64.22999197218785,44.865009392423325]}"
29,Kazakhstan,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[67.44506237405162,43.49328195357281]}"
30,Kazakhstan,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.11487826986409,42.9677675123629]}"
31,Kazakhstan,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[68.71797513164898,50.827127933124586]}"
32,Kazakhstan,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[68.21402025725793,40.80821756933956]}"
33,Kazakhstan,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[56.453276557565154,49.88120193894673]}"
34,Kazakhstan,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.36568332290841,49.503909519616535]}"
35,Kazakhstan,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.00653229803558,42.868952831109745]}"
36,Kazakhstan,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[64.5587753661756,45.09587642044204]}"
37,Kazakhstan,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.67398055413638,52.80701481932402]}"
38,Kazakhstan,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.49915925128302,43.06837882418428]}"
39,Kazakhstan,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.05920559365794,43.645995551873135]}"
40,Kazakhstan,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.39552568746859,43.69180963136323]}"
41,Kazakhstan,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[70.93322062228772,51.80180001639427]}"
42,Kazakhstan,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.90844084329157,50.85677233750053]}"
43,Kazakhstan,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.76004373263689,51.551170052124924]}"
44,Kazakhstan,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[64.77616766493252,52.038056936117705]}"
45,Kazakhstan,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[51.59967907746738,47.608464270124344]}"
46,Kazakhstan,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.4384468609221,43.553469077608824]}"
47,Kazakhstan,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[68.01998415588811,41.989502167956736]}"
48,Kazakhstan,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.06729043121501,43.704386045340904]}"
49,Kazakhstan,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[68.4430906547084,43.19593959452925]}"
50,Kazakhstan,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.4463566097042,43.39626390288791]}"
51,Kazakhstan,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.12009307279384,52.68753888653612]}"
52,Kazakhstan,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[70.38255335312245,42.79618929309606]}"
53,Kazakhstan,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[69.54891676945954,42.48627052007483]}"
54,Kazakhstan,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.16159066463831,49.77430242013651]}"
55,Kazakhstan,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.25593664088011,45.561203737615955]}"
56,Kazakhstan,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[54.2604889490294,50.54056535749046]}"
57,Kazakhstan,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[69.15545467501519,42.539271121837885]}"
58,Kazakhstan,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.92984819274473,44.126594228877074]}"
59,Kazakhstan,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[64.81569353743377,44.79404248497788]}"
60,Kazakhstan,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[67.11448234949563,43.84003165324295]}"
61,Kazakhstan,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[64.52374107009493,51.87546186969207]}"
62,Kazakhstan,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[68.86889209938106,41.30498592145766]}"
63,Kazakhstan,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[69.01980906711314,42.65695042405754]}"
