system:index,country,label,.geo
0,Turkmenistan,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[65.37085238301964,38.136627914368106]}"
1,Turkmenistan,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[56.30595285096955,39.25592875838103]}"
2,Turkmenistan,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[59.02066163957875,37.749454026912595]}"
3,Turkmenistan,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[60.26662493865252,38.79599133291184]}"
4,Turkmenistan,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[64.01888788041977,38.539073161653654]}"
5,Turkmenistan,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[65.97092699281148,37.519485314178]}"
6,Turkmenistan,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[56.70121157598214,38.797787963480076]}"
7,Turkmenistan,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[64.26682289883675,38.75377051455822]}"
8,Turkmenistan,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[64.7662861968072,37.70902983912722]}"
9,Turkmenistan,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[65.58824468177657,37.67938543475127]}"
10,Turkmenistan,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[61.78567608409863,38.16178074232345]}"
11,Turkmenistan,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[60.705002797302846,36.96702141444449]}"
12,Turkmenistan,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[63.23735358323578,36.19806353123818]}"
13,Turkmenistan,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[63.93085298257605,38.76455029796765]}"
14,Turkmenistan,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[60.58013697281023,37.40090769667422]}"
15,Turkmenistan,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[60.24237042598129,37.734182667082564]}"
16,Turkmenistan,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[64.71957380203298,38.151899274198136]}"
17,Turkmenistan,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[59.29195285538284,42.33176029120627]}"
18,Turkmenistan,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[65.35198776205313,37.887794580667]}"
19,Turkmenistan,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[63.89042879479067,38.83461889012898]}"
20,Turkmenistan,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[59.26141013572278,42.25899675319259]}"
21,Turkmenistan,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[66.10208102429293,37.602130320316995]}"
22,Turkmenistan,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[63.959599071667874,38.7807199730818]}"
23,Turkmenistan,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[62.396530477299905,37.31826269053522]}"
24,Turkmenistan,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[58.020836728353714,38.09261046544625]}"
25,Turkmenistan,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[60.36633793518979,37.451213352584915]}"
26,Turkmenistan,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[60.28908282075551,37.82760745663099]}"
27,Turkmenistan,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[64.10153288655876,38.589378817564345]}"
28,Turkmenistan,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[59.900112302731756,42.12694440642702]}"
29,Turkmenistan,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[59.238952253619786,42.10897810074463]}"
30,Turkmenistan,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[55.5810124166851,39.32959061167883]}"
31,Turkmenistan,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[61.17302506032912,37.31107616826227]}"
32,Turkmenistan,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[60.225302435583025,37.3676700311618]}"
33,Turkmenistan,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[62.33364840741154,37.29041491672752]}"
34,Turkmenistan,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[59.3772928073742,37.749454026912595]}"
35,Turkmenistan,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[65.59812614990189,37.854556915154575]}"
36,Turkmenistan,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[60.56306898241196,37.049666420583485]}"
37,Turkmenistan,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[62.20069774536185,37.59404548275992]}"
38,Turkmenistan,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[62.01384816626499,40.752522021724154]}"
39,Turkmenistan,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[59.52281988340156,41.95356955659195]}"
40,Turkmenistan,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[61.12900761140726,37.53565498929215]}"
41,Turkmenistan,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[60.50557680422831,37.479061126392615]}"
42,Turkmenistan,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[64.93067789380108,37.69286016401306]}"
43,Turkmenistan,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[56.310444427390145,39.18136858979911]}"
44,Turkmenistan,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[61.45509605954265,36.12170673208802]}"
45,Turkmenistan,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[61.103854783451915,37.103565337630656]}"
46,Turkmenistan,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[58.944304840428586,41.92572178278425]}"
47,Turkmenistan,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[62.346224821389214,37.4736712346879]}"
48,Turkmenistan,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[63.00199497879646,37.77460685486794]}"
49,Turkmenistan,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[58.700861398432195,42.65245884763694]}"
50,Turkmenistan,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[61.58984335216058,37.92552382260002]}"
51,Turkmenistan,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[63.544577410404656,39.1166898893425]}"
52,Turkmenistan,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[60.8729877554332,37.36407677002532]}"
53,Turkmenistan,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[59.1015100151495,42.10358820903991]}"
54,Turkmenistan,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[59.03952626054525,37.80874283566448]}"
55,Turkmenistan,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[66.51261110913555,37.347907094911164]}"
56,Turkmenistan,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[60.63044262872093,37.32365258223994]}"
57,Turkmenistan,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[59.54976934192514,37.40180601195834]}"
58,Turkmenistan,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[62.73160207827649,35.988756070038335]}"
59,Turkmenistan,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[61.862032883248794,37.41528074122013]}"
60,Turkmenistan,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[63.75747813274098,38.88672117660791]}"
61,Turkmenistan,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[59.661160437155964,37.34431383377469]}"
62,Turkmenistan,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[61.31406055993588,38.604650177394376]}"
63,Turkmenistan,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[61.60241976613825,37.694656794581306]}"
64,Turkmenistan,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[58.76464178360468,42.44764296285769]}"
65,Turkmenistan,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[60.500186912523596,37.26346545820393]}"
66,Turkmenistan,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[62.09918811825634,37.536553304576266]}"
67,Turkmenistan,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[65.1435786161374,37.88689626538288]}"
68,Turkmenistan,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[62.28693601263733,37.62368988713586]}"
69,Turkmenistan,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[63.8365298777435,38.8220424761513]}"
70,Turkmenistan,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[60.10133492637453,37.519485314178]}"
71,Turkmenistan,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[56.557481130523016,38.96577292161042]}"
72,Turkmenistan,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[60.652002195539794,36.959834892171536]}"
73,Turkmenistan,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[60.86490291787612,37.107158598767136]}"
74,Turkmenistan,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[59.249732037029226,37.72160625310489]}"
75,Turkmenistan,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[60.22350580501478,37.02900516904874]}"
76,Turkmenistan,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[60.77147812832769,37.37126329229827]}"
77,Turkmenistan,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[58.93352505701915,42.33984512876335]}"
78,Turkmenistan,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[60.34208342251856,37.79257316055033]}"
79,Turkmenistan,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[62.0605605610392,37.9291170837365]}"
80,Turkmenistan,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[59.785127946364454,41.85026329891821]}"
81,Turkmenistan,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[60.538814469740736,37.38383970627595]}"
82,Turkmenistan,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[59.85339990795754,41.688566547776695]}"
83,Turkmenistan,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[56.32481747193606,39.21011467889094]}"
84,Turkmenistan,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[56.61138004757019,38.83012731370838]}"
85,Turkmenistan,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[65.27832590875533,37.694656794581306]}"
86,Turkmenistan,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[60.64481567326684,37.6209949412835]}"
87,Turkmenistan,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[60.85052987333021,37.35329698661589]}"
88,Turkmenistan,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[62.0650521374598,37.37934812985535]}"
89,Turkmenistan,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[64.84174468067324,38.11057677112864]}"
90,Turkmenistan,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[65.66280485035848,37.5518246644063]}"
91,Turkmenistan,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[61.552114110227556,37.97852442436307]}"
92,Turkmenistan,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[62.20429100649833,37.64614776923885]}"
93,Turkmenistan,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[58.754760315479366,42.20779278199778]}"
94,Turkmenistan,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[63.50415322261927,39.09153706138716]}"
95,Turkmenistan,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[57.90136079556582,38.1545942200505]}"
96,Turkmenistan,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[58.03341314233139,38.183340309142324]}"
97,Turkmenistan,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[61.62038607182064,37.74675908106023]}"
98,Turkmenistan,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[59.69709304852074,42.11257136188111]}"
99,Turkmenistan,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[62.49444684326893,39.889241033685295]}"
100,Turkmenistan,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[60.592713386787906,37.38473802156007]}"
101,Turkmenistan,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[58.588571987917256,42.53388123013317]}"
102,Turkmenistan,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[62.3408349296845,37.60752021202171]}"
103,Turkmenistan,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[63.70178258512557,39.08704548496656]}"
104,Turkmenistan,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[60.662781978949226,37.33443236564938]}"
105,Turkmenistan,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[59.27578318026869,42.10807978546051]}"
106,Turkmenistan,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[59.19403648941381,42.13413092869998]}"
107,Turkmenistan,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[59.153612301628435,37.79436979111857]}"
108,Turkmenistan,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[55.85949015476215,39.36192996190714]}"
109,Turkmenistan,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[63.4592374584133,39.15980902298024]}"
110,Turkmenistan,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[58.921846958325595,42.07574043523221]}"
111,Turkmenistan,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[66.15328499548775,37.58685896048696]}"
112,Turkmenistan,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[61.81442217319046,37.838387240040426]}"
113,Turkmenistan,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[59.79950099091037,37.53026509758743]}"
114,Turkmenistan,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[58.867049725994306,41.92302683693189]}"
115,Turkmenistan,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[61.03109124543823,37.33622899621761]}"
116,Turkmenistan,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[60.98527716594814,37.17183729922374]}"
117,Turkmenistan,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[61.60152145085413,37.699148371001904]}"
118,Turkmenistan,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[62.95438426873813,39.48140589469503]}"
119,Turkmenistan,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[61.66979341244721,37.86354006799577]}"
